[coverage strength]
5
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S7_select_schedulingTypeSelect_index_1,S8c3_submit_submitButton,S5_select_schedulingTypeSelect_index_3,S1_wait_input,S18_click_cssInputButton,S11_click_calculatePaymentsButton,S0_type_memberUserName,S3_select_schedulingTypeSelect_index_3,S14_type_description
invalidPaymentCountLef,invalidAmountLeft,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountRight,invalidAmountRight,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountRight,validAcceptableAmount,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountRight,invalidAmountLeft,02/02/2012,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE,anyString
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,IMMEDIATELY,action,MULTIPLE_FUTURE,action,action,action,test1,MULTIPLE_FUTURE,anyString
