[coverage strength]
6
""
S7_type_paymentCount,S2_type_amount,S10_type_firstPaymentDate,S11_submit_submitButton,S5_select_schedulingTypeSelect_index_2,S0_type_memberUserName,S1_wait_input,S3_select_schedulingTypeSelect_index_1,S6_select_schedulingTypeSelect_index_3,S18_click_cssInputButton
validPaymentCountBetween1and6,validAcceptableAmount,02/02/2012,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,validAcceptableAmount,invalidPaymentPastDate,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentFutureDate,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountLeft,02/02/2012,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
validPaymentCountBetween1and6,invalidAmountLeft,invalidPaymentPastDate,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountRight,invalidPaymentFutureDate,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountRight,02/02/2012,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountRight,invalidPaymentPastDate,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentFutureDate,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
invalidPaymentCountLef,validAcceptableAmount,02/02/2012,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
invalidPaymentCountLef,validAcceptableAmount,invalidPaymentPastDate,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentFutureDate,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountLeft,02/02/2012,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
invalidPaymentCountLef,invalidAmountLeft,invalidPaymentPastDate,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountRight,invalidPaymentFutureDate,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountRight,02/02/2012,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountRight,invalidPaymentPastDate,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentFutureDate,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
invalidPaymentCountRight,validAcceptableAmount,02/02/2012,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
invalidPaymentCountRight,validAcceptableAmount,invalidPaymentPastDate,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentFutureDate,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountLeft,02/02/2012,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
invalidPaymentCountRight,invalidAmountLeft,invalidPaymentPastDate,action,SINGLE_FUTURE,test1,action,IMMEDIATELY,MULTIPLE_FUTURE,action
